year,profit_per_gambler,visits_per_gambler,ruin_events_per_gambler,active_share_year_end
481,1134.4832,3.15941,0.000953,0.801166
482,1134.3475,3.15748,0.000900,0.801148
483,1133.8667,3.15536,0.000920,0.801120
484,1134.7478,3.15699,0.000936,0.801059
485,1133.6697,3.15545,0.000908,0.801038
486,1133.4734,3.15858,0.000900,0.801034
487,1133.6309,3.15500,0.000939,0.800981
488,1132.8758,3.15667,0.000950,0.800968
489,1132.4034,3.15434,0.000896,0.800929
490,1133.3880,3.15596,0.000864,0.800907
491,1132.7487,3.15479,0.000858,0.800901
492,1133.8381,3.15706,0.000895,0.800871
493,1132.6082,3.15470,0.000899,0.800828
494,1132.6365,3.15410,0.000794,0.800794
495,1133.1307,3.15458,0.000901,0.800750
496,1132.6942,3.15462,0.000929,0.800699
497,1133.7529,3.15619,0.000964,0.800663
498,1132.3309,3.15360,0.000974,0.800635
499,1133.1503,3.15427,0.000926,0.800619
500,1133.4607,3.15341,0.000877,0.800608
501,1131.6360,3.15172,0.000901,0.800606
502,1132.3617,3.15178,0.000865,0.800562
503,1131.9366,3.15340,0.000831,0.800525
504,1132.7472,3.15404,0.000912,0.800495
505,1132.2949,3.15259,0.000915,0.800477
506,1133.1044,3.15440,0.000804,0.800473
507,1132.6514,3.15466,0.000908,0.800446
508,1132.2324,3.15267,0.000773,0.800416
509,1132.2091,3.15436,0.000889,0.800378
510,1132.6461,3.15368,0.000799,0.800358
511,1132.6520,3.15391,0.000922,0.800332
512,1132.3967,3.15372,0.000952,0.800284
513,1132.1195,3.15332,0.000840,0.800262
514,1131.4263,3.15072,0.000883,0.800219
515,1132.1036,3.15318,0.000884,0.800176
516,1131.9189,3.15326,0.000884,0.800133
517,1130.8702,3.15225,0.000912,0.800108
518,1131.4560,3.15118,0.000853,0.800080
519,1131.9662,3.15161,0.000862,0.800063
520,1132.9345,3.15346,0.000824,0.800080
521,1131.2188,3.15273,0.000875,0.800036
522,1129.9546,3.14885,0.000792,0.800007
523,1131.3140,3.15450,0.000801,0.799955
