house_edge,comp_rate,decade,profit_per_gambler_year,active_share
0.2200,0.2571,11,495.056,0.68066
0.2200,0.2571,12,506.746,0.67590
0.2500,0.2571,1,757.224,0.78357
0.2500,0.2571,2,665.418,0.75769
0.2500,0.2571,3,637.572,0.73535
0.2500,0.2571,4,608.944,0.72363
0.2500,0.2571,5,591.367,0.71338
0.2500,0.2571,6,570.732,0.70605
0.2500,0.2571,7,567.222,0.69604
0.2500,0.2571,8,567.345,0.69031
0.2500,0.2571,9,553.545,0.68726
0.2500,0.2571,10,550.838,0.68359
0.2500,0.2571,11,548.750,0.67993
0.2500,0.2571,12,547.758,0.67542
0.2800,0.2571,1,827.800,0.78540
0.2800,0.2571,2,726.673,0.75476
0.2800,0.2571,3,691.393,0.73254
0.2800,0.2571,4,650.495,0.71729
0.2800,0.2571,5,646.722,0.71033
0.2800,0.2571,6,632.920,0.70374
0.2800,0.2571,7,629.003,0.69458
0.2800,0.2571,8,607.871,0.68750
0.2800,0.2571,9,604.734,0.68262
0.2800,0.2571,10,599.851,0.68005
0.2800,0.2571,11,598.067,0.67517
0.2800,0.2571,12,587.107,0.67004
0.0100,0.3429,1,42.553,0.86755
0.0100,0.3429,2,37.895,0.82324
0.0100,0.3429,3,20.723,0.79553
0.0100,0.3429,4,32.908,0.77026
0.0100,0.3429,5,26.949,0.75476
0.0100,0.3429,6,33.661,0.74133
0.0100,0.3429,7,23.523,0.72961
0.0100,0.3429,8,33.930,0.72363
0.0100,0.3429,9,30.295,0.71277
0.0100,0.3429,10,26.974,0.70605
0.0100,0.3429,11,22.153,0.70227
0.0100,0.3429,12,30.436,0.69519
0.0400,0.3429,1,150.391,0.84399
0.0400,0.3429,2,117.155,0.80286
0.0400,0.3429,3,108.658,0.77356
0.0400,0.3429,4,114.199,0.75195
0.0400,0.3429,5,111.568,0.73718
0.0400,0.3429,6,108.986,0.72729
0.0400,0.3429,7,104.552,0.71655
0.0400,0.3429,8,111.007,0.70959
0.0400,0.3429,9,108.826,0.70190
0.0400,0.3429,10,94.185,0.69910
0.0400,0.3429,11,93.310,0.69250
0.0400,0.3429,12,86.261,0.68848
0.0700,0.3429,1,232.525,0.83435
0.0700,0.3429,2,211.084,0.78943
0.0700,0.3429,3,197.942,0.76660
0.0700,0.3429,4,186.621,0.74805
0.0700,0.3429,5,170.650,0.73193
0.0700,0.3429,6,188.804,0.72205
0.0700,0.3429,7,175.589,0.71582
0.0700,0.3429,8,176.908,0.70874
0.0700,0.3429,9,180.014,0.70422
0.0700,0.3429,10,169.403,0.69824
0.0700,0.3429,11,161.941,0.69409
0.0700,0.3429,12,177.859,0.69006
0.1000,0.3429,1,332.703,0.82275
0.1000,0.3429,2,291.841,0.79150
0.1000,0.3429,3,281.097,0.75916
0.1000,0.3429,4,265.774,0.74268
0.1000,0.3429,5,257.417,0.73035
0.1000,0.3429,6,249.355,0.72107
0.1000,0.3429,7,247.534,0.71460
0.1000,0.3429,8,251.654,0.70569
0.1000,0.3429,9,232.780,0.70215
0.1000,0.3429,10,239.449,0.69739
0.1000,0.3429,11,230.681,0.69312
0.1000,0.3429,12,227.984,0.68787
0.1300,0.3429,1,408.500,0.80554
0.1300,0.3429,2,355.709,0.77515
0.1300,0.3429,3,340.244,0.75317
0.1300,0.3429,4,321.278,0.73608
0.1300,0.3429,5,322.670,0.72559
0.1300,0.3429,6,309.591,0.71765
0.1300,0.3429,7,313.811,0.70862
0.1300,0.3429,8,297.701,0.70374
0.1300,0.3429,9,306.546,0.69812
0.1300,0.3429,10,292.835,0.69531
0.1300,0.3429,11,297.969,0.68921
0.1300,0.3429,12,274.884,0.68469
0.1600,0.3429,1,483.787,0.79968
0.1600,0.3429,2,425.124,0.76758
0.1600,0.3429,3,415.504,0.74805
0.1600,0.3429,4,389.887,0.73169
0.1600,0.3429,5,381.585,0.71997
0.1600,0.3429,6,373.363,0.71338
0.1600,0.3429,7,363.318,0.70715
0.1600,0.3429,8,365.336,0.70081
0.1600,0.3429,9,355.107,0.69556
0.1600,0.3429,10,344.492,0.69055
0.1600,0.3429,11,353.222,0.68481
0.1600,0.3429,12,348.889,0.68213
0.1900,0.3429,1,549.939,0.79407
0.1900,0.3429,2,490.267,0.76599
0.1900,0.3429,3,468.958,0.74292
0.1900,0.3429,4,446.119,0.73010
0.1900,0.3429,5,440.714,0.71899
0.1900,0.3429,6,435.046,0.71289
0.1900,0.3429,7,420.056,0.70544
0.1900,0.3429,8,405.251,0.69983
0.1900,0.3429,9,403.837,0.69397
0.1900,0.3429,10,413.677,0.68933
0.1900,0.3429,11,400.100,0.68555
0.1900,0.3429,12,401.752,0.68250
0.2200,0.3429,1,619.191,0.79016
0.2200,0.3429,2,554.233,0.75867
0.2200,0.3429,3,510.812,0.74048
0.2200,0.3429,4,500.933,0.72668
